FUS(G156E)-EGFP / μM,PEG 6000 / % (w/w),feature,bis-ANS
0.350632857,6.906523063,TRUE,FALSE
1.215695967,3.879086297,TRUE,FALSE
3.592386674,1.510520283,TRUE,FALSE
2.011014026,2.987872495,TRUE,FALSE
2.740590318,2.434392123,TRUE,FALSE
1.268309243,5.487015005,TRUE,FALSE
1.53785878,5.121800319,TRUE,FALSE
2.090057016,3.68524279,TRUE,FALSE
1.502415404,4.364576412,TRUE,FALSE
1.364166593,3.4528312,TRUE,FALSE
1.6862743,5.062508991,TRUE,FALSE
2.51641802,2.592567884,TRUE,FALSE
1.458829548,4.00980655,TRUE,FALSE
1.396116677,4.730005245,TRUE,FALSE
1.029068953,5.154185999,TRUE,FALSE
1.42927511,5.416079594,TRUE,FALSE
1.784751949,6.810443933,TRUE,FALSE
1.209488816,6.381625269,TRUE,FALSE
1.391757193,4.386881677,TRUE,FALSE
3.35759623,1.584850648,TRUE,FALSE
1.54660497,5.604045162,TRUE,FALSE
1.804292695,3.275285177,TRUE,FALSE
7.075747947,3.218726513,TRUE,FALSE
1.390896006,4.236486449,TRUE,FALSE
2.808822125,2.165750097,TRUE,FALSE
1.418407815,5.907646997,TRUE,FALSE
2.970995255,2.436175254,TRUE,FALSE
3.222842693,2.037864614,TRUE,FALSE
3.725550896,4.307482805,TRUE,FALSE
0.307182999,5.6615042,TRUE,FALSE
2.582041863,2.594413449,TRUE,FALSE
1.356038912,3.086757339,TRUE,FALSE
3.365042992,1.523995201,TRUE,FALSE
1.622420679,2.957396859,TRUE,FALSE
1.426229492,3.907539625,TRUE,FALSE
0.640932725,4.422628109,TRUE,FALSE
1.599778612,5.821587146,TRUE,FALSE
0.904668947,6.021604448,TRUE,FALSE
1.438303763,3.920056405,TRUE,FALSE
2.422692269,2.4637894,TRUE,FALSE
1.526816854,4.908886606,TRUE,FALSE
1.678989519,4.938109431,TRUE,FALSE
1.034905224,3.579788784,TRUE,FALSE
2.146603519,2.796408775,TRUE,FALSE
0.644757672,6.12054692,TRUE,FALSE
0.57121138,6.479219361,TRUE,FALSE
2.466492456,2.399623939,TRUE,FALSE
1.347159235,3.319067034,TRUE,FALSE
2.826972797,2.624187681,TRUE,FALSE
2.070414604,3.654491681,TRUE,FALSE
1.6370335,4.277279301,TRUE,FALSE
1.503555031,4.32168503,TRUE,FALSE
3.130783837,2.715737528,TRUE,FALSE
2.040139184,3.335333194,TRUE,FALSE
1.223313349,4.456931114,TRUE,FALSE
0.323951186,6.680673736,TRUE,FALSE
0.577265132,7.938153291,TRUE,FALSE
2.40562152,3.192145618,TRUE,FALSE
1.860074373,3.399135023,TRUE,FALSE
1.908587279,3.646846746,TRUE,FALSE
0.791395691,7.061091486,TRUE,FALSE
2.254416174,3.372159738,TRUE,FALSE
0.871148912,4.289184188,TRUE,FALSE
0.516799388,6.73110795,TRUE,FALSE
1.460796918,4.161560793,TRUE,FALSE
1.655102191,3.620182157,TRUE,FALSE
2.842551057,2.39995131,TRUE,FALSE
0.45159953,7.417223894,TRUE,FALSE
2.269326045,2.860740147,TRUE,FALSE
0.995839229,3.900270346,TRUE,FALSE
1.958361115,4.114885953,TRUE,FALSE
0.504491613,6.975099288,TRUE,FALSE
0.299355594,6.71383847,TRUE,FALSE
1.449925194,4.392936238,TRUE,FALSE
0.84371359,5.717906614,TRUE,FALSE
1.363215735,4.138093477,TRUE,FALSE
0.196953798,5.677780038,TRUE,FALSE
0.807273131,5.246551327,TRUE,FALSE
2.257157782,2.623892729,TRUE,FALSE
0.858625723,4.08812756,TRUE,FALSE
3.071731748,1.836220821,TRUE,FALSE
1.39225994,4.931674344,TRUE,FALSE
3.298291638,1.632885627,TRUE,FALSE
3.68687744,1.75855803,TRUE,FALSE
2.792433207,2.540221645,TRUE,FALSE
1.334576034,4.087263622,TRUE,FALSE
2.304371869,4.814755165,TRUE,FALSE
0.758213353,6.585213118,TRUE,FALSE
2.020117782,4.945351677,TRUE,FALSE
1.291026207,3.611727283,TRUE,FALSE
1.544226276,4.061825839,TRUE,FALSE
1.809888409,4.473525488,TRUE,FALSE
2.310291357,1.831581369,TRUE,FALSE
0.605012686,4.725079019,TRUE,FALSE
2.064710464,4.063192794,TRUE,FALSE
1.529831811,4.433548844,TRUE,FALSE
2.261891805,2.31185574,TRUE,FALSE
3.461319917,1.778308534,TRUE,FALSE
1.868382555,3.844012479,TRUE,FALSE
1.54529557,4.613589052,TRUE,FALSE
0.716575822,4.621141572,TRUE,FALSE
3.19757454,4.213015632,TRUE,FALSE
3.21422425,1.885318723,TRUE,FALSE
1.736581282,5.048735448,TRUE,FALSE
2.619313297,2.133675396,TRUE,FALSE
1.669506597,4.178908055,TRUE,FALSE
2.388117643,2.27618271,TRUE,FALSE
2.336656121,2.385206022,TRUE,FALSE
4.942474786,2.845884681,TRUE,FALSE
2.53578515,2.456817301,TRUE,FALSE
3.122069085,7.177387709,TRUE,FALSE
1.733816997,3.532033973,TRUE,FALSE
1.971587933,3.22349499,TRUE,FALSE
