feature,"PolyA, ng/uL","Os-C, uM"
FALSE,32.79509095,10.0437486
FALSE,28.7192518,10.0438701
FALSE,25.63804644,10.04579911
FALSE,18.83800799,10.04800593
FALSE,26.90645079,10.04990703
FALSE,36.1218034,10.0521525
FALSE,34.78993295,10.05966034
FALSE,31.09714546,10.06271349
FALSE,26.37776583,10.06453633
FALSE,13.49194956,10.06582345
FALSE,28.79891321,10.06744723
FALSE,25.18259578,10.07873514
FALSE,11.13936285,10.08187206
FALSE,25.77732108,10.08237013
FALSE,23.72165878,10.09247496
FALSE,15.0179776,10.09419413
FALSE,30.43895327,10.09813355
FALSE,17.02731256,10.09923821
FALSE,28.81208225,10.11158652
FALSE,31.05460364,10.11842428
FALSE,35.09982429,10.12525074
FALSE,35.98186577,10.12671217
FALSE,28.7891281,10.13050854
TRUE,25.64819866,10.13350239
FALSE,29.61144897,10.13396931
FALSE,35.0622422,10.14649153
FALSE,29.3665961,10.15410082
FALSE,36.25678142,10.15475134
FALSE,27.1687889,10.15738155
FALSE,23.97936806,10.15809041
FALSE,15.20951184,10.16298368
FALSE,35.64757282,10.16948593
FALSE,8.317431461,10.1726026
FALSE,34.36156494,10.17272639
FALSE,24.05832673,10.17755707
FALSE,25.46007914,10.18186465
FALSE,26.24806845,10.19142742
FALSE,24.84020922,10.19599158
FALSE,24.81913774,10.20616503
FALSE,24.9579581,10.20619168
FALSE,25.23317704,10.21374861
FALSE,26.60686771,10.21831222
FALSE,14.29494582,10.21952076
FALSE,26.28330428,10.22326773
FALSE,12.51283051,10.23299166
FALSE,36.8614112,10.24132635
FALSE,9.668347935,10.2425365
FALSE,10.80969729,10.24273861
FALSE,29.53657999,10.2456311
FALSE,15.6757439,10.25006369
FALSE,26.86504438,10.256981
FALSE,36.33529986,10.26628514
FALSE,17.01967933,10.26873595
